PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40074706,Identification and mechanism analysis of biomarkers related to butyrate metabolism in COVID-19 patients.,2025 Dec,None,None,Not Available
40074697,Adrenomedullin Inhibits the Efficacy of Combined Immunotherapy and Targeted Therapy in Biliary Tract Cancer by Disrupting Endothelial Cell Functions.,2025 Mar,None,None,Not Available
40074693,"Farletuzumab ecteribulin and MORAb-109, folate receptor alpha and mesothelin targeting antibody-drug conjugates, show activity in poor prognosis gynaecological cancer models.",2025 Mar,None,None,Not Available
40074689,Comparison of Early Functional Recovery Following Triportal Robot-Assisted and Uniportal Video-Assisted Segmentectomy in Patients With Early-Stage Non-Small Cell Lung Cancer: A Propensity Score-Matched Analysis.,2025 Mar,None,None,Not Available
40074676,"Advancing Metastatic Spine Tumor Research: A Review of AO Spine Knowledge Forum Tumor's Scientific Contributions Derived From the EPOSO Network, 2014-2024.",2025 Mar 12,None,None,Not Available
40074664,European cancer mortality predictions for the year 2025 with focus on breast cancer.,2025 Feb 20,None,None,Not Available
40074643,"Re: Paolo Gontero, Alison Birtle, Otakar Capoun, et al. European Association of Urology Guidelines on Non-muscle-invasive Bladder Cancer (TaT1 and Carcinoma In Situ)-A Summary of the 2024 Guidelines Update. Eur Urol 2024;86:531-49.",2025 Mar 11,None,None,Not Available
40074619,A Meta-analysis of 68Ga-FAPI PET in Assessment of Ovarian Cancer.,2025 Mar 11,None,None,Not Available
40074592,[Merkel cell carcinoma: An update].,2025 Mar 11,None,None,Not Available
40074558,An Overview of Predictive Biomarkers and Detection Approaches for Immunotherapy Response in GI Malignancies.,2025 Mar 12,None,None,Not Available
